Community,Person ID,Person Name,Private?,Deleted?,Friends Count,Friends_IDS,Delta Friends,Followers Count,Statuses Count,# Tweets,Delta Tweets,# Retweets stored in DB,# Retweets reported by Twitter,Delta Retweets
liberal,24301,argylestyle,false,false,4254,4254,0,3884,63108,3199,1,61356,1910.0,59446.0
liberal,24385,VegasJessie,false,false,5331,5331,0,5663,30498,3213,-13,7051,3405.0,3646.0
liberal,36089,GoLeftYoungMan,false,false,12313,12454,-141,12395,4253,3199,1,9924,7942.0,1982.0
liberal,19035,pzmyers,false,false,202,202,0,100843,11972,3230,-30,34086,12860.0,21226.0
liberal,19737,MoveOn,false,false,694,694,0,65117,6106,3761,-561,72223,42205.0,30018.0
liberal,24417,BrettR4763,false,false,3773,3773,0,3509,169555,1,3199,0,0.0,0.0
liberal,33367,mattyglesias,false,false,318,318,0,39795,27650,3249,-49,35465,14063.0,21402.0
liberal,36112,RBReich,false,false,35,35,0,65874,876,1016,-140,123689,54097.0,69592.0
liberal,24382,ElMonte08,false,false,11396,13016,-1620,13489,50107,3197,3,80690,912.0,79778.0
liberal,24334,KMers,false,false,1793,1793,0,1871,10672,3206,-6,5804,1851.0,3953.0
liberal,350,TheYoungTurks,false,false,13936,10032,3904,48656,10938,3212,-12,84097,13377.0,70720.0
liberal,24366,1txsage1957,false,false,30541,30418,123,35277,108151,3210,-10,1438,1146.0,292.0
liberal,36097,EzKool,false,false,1497,1497,0,4993,21682,3203,-3,9266,2458.0,6808.0
liberal,36098,MHarrisPerry,false,false,497,498,-1,77569,18817,3205,-5,56156,37201.0,18955.0
liberal,36110,rodriguezbraun,false,false,154,154,0,25956,11409,3234,-34,6056,3289.0,2767.0
liberal,24365,jazgar,false,false,2230,2230,0,3508,79427,3215,-15,3258,1409.0,1849.0
liberal,24364,novenator,false,false,7775,7775,0,8268,27181,3226,-26,43981,3790.0,40191.0
liberal,24369,JuliaAdair,false,false,3016,3016,0,3120,36781,3190,10,26159,1100.0,25059.0
liberal,36100,owillis,false,false,3008,3008,0,12173,98760,4123,-923,54068,2107.0,51961.0
liberal,36103,TPElections,false,false,22,22,0,21079,5476,3207,-7,21009,5158.0,15851.0
liberal,36101,Serpentine202,false,false,6372,6372,0,6602,38974,3241,-41,11252,2376.0,8876.0
liberal,36102,ArrghPaine,false,false,1959,1959,0,4633,41581,3203,-3,6201,5403.0,798.0
liberal,24368,Marnus3,false,false,3445,3445,0,4537,30468,3243,-43,9051,7101.0,1950.0
liberal,19756,AngryVoters,false,false,4732,4730,2,15164,13974,3814,-614,48519,8245.0,40274.0
liberal,17698,peoplefor,false,false,2163,2163,0,6666,3457,3214,-14,19298,7153.0,12145.0
liberal,24371,slinkerwink,false,false,431,431,0,1641,10595,3226,-26,60215,147.0,60068.0
liberal,36107,KagroX,false,false,668,668,0,13879,40348,3228,-28,27558,9343.0,18215.0
liberal,36108,ciudad_liberal,false,false,1134,1134,0,835,1603,1572,31,58555,475.0,58080.0
liberal,20962,Anomaly100,false,false,1630,1630,0,3005,34702,3204,-4,20763,1612.0,19151.0
liberal,24370,OurFuture,false,false,2236,2236,0,5387,3743,3226,-26,6790,4098.0,2692.0
liberal,24376,JAMES_X_,false,false,22276,21188,1088,34436,36680,3232,-32,109005,3376.0,105629.0
liberal,24373,srjones66,false,false,3020,3020,0,3444,21029,3576,-376,18469,5069.0,13400.0
liberal,24427,LiberalFeeds,false,false,2928,2928,0,3161,61918,3228,-28,644,601.0,43.0
liberal,36111,DavidCornDC,false,false,700,700,0,56154,22009,3235,-35,47717,24998.0,22719.0
liberal,20839,GaryBlackmon,false,false,5035,5035,0,5532,61388,3222,-22,19778,960.0,18818.0
liberal,24424,geoff9cow,false,false,17131,17453,-322,27510,83055,4834,-1634,3490,823.0,2667.0
liberal,24375,Nanmac3109,true,true,1644,0,1644,2715,39689,0,3200,0,0.0,0.0
liberal,38458,ElCatoEnCorto,false,false,17,17,0,3188,1791,1888,-97,2154,1926.0,228.0
liberal,24362,mariopiperni,false,false,3473,3473,0,4697,5640,3239,-39,3047,2468.0,579.0
liberal,24390,slackadjuster,false,false,6268,6268,0,6035,59817,3246,-46,4736,3957.0,779.0
liberal,24391,thejoshuablog,false,false,1491,1491,0,5143,121963,3203,-3,70981,1173.0,69808.0
