Person ID,Person Name,Private?,Statuses Count,Number of Tweets,Number of Retweets,Retweet Count,Friends Count,Friends_IDS,Followers Count
1952,BlackDiamondUSA,false,1342,1364,381884,799205,2298,2298,15291
1951,thebackpackertv,false,2313,2336,382142,817835,3280,3280,3979
1959,wendmagazine,false,8626,3199,383781,828710,10514,0,11500
1956,EASTERNMNTN,false,2739,2775,384339,829356,1312,1312,6829
1901,theoutdoors,false,539,539,384405,829758,3250,3250,3968
1957,OutdoorNews,false,5247,3191,386154,831591,1114,1114,8520
1955,NOLSedu,false,2028,2052,386909,832598,2095,2095,4487
1958,Wilderness,false,2136,2144,389761,836081,3178,3178,13938
1833,walkscotland,false,14798,3200,390812,846585,22833,0,21867
1961,Trailspotting,false,156,154,390820,846602,197,197,473
1962,BeOutThere,false,1033,1036,391695,848030,918,918,2442
1967,theclymb,false,3787,3200,392532,849164,14751,0,22150
1963,jim7226,false,6319,3199,393040,849869,1070,1070,2420
1960,AlpineInstitute,false,4115,3190,394034,868345,534,534,4269
1964,hikingbackpack,false,10983,3200,394191,868507,3770,3770,4042
1966,Whitetailchef,false,2098,2094,394212,868627,513,513,1690
1969,YosemiteNPS,false,1529,1533,396286,871384,9,9,12586
1970,glaciernps,false,1203,1201,398011,873444,180,180,6720
1968,OutdoorEyes,false,21101,3200,398157,873600,2975,2975,2846
1971,Campmor,false,5824,3200,400451,877555,2470,2470,12097
1965,climbing,false,879,877,400697,877871,5699,5699,8248
1972,TrailMagazine,false,593,595,401244,878611,3187,3187,10167
1973,PHJFieldStaff,false,1146,1145,401307,878923,1853,1853,3139
1980,huntingNfishing,false,66575,3200,401399,879019,16786,0,22212
1975,TheDeerTree,false,2365,2364,401414,879218,1549,1549,2807
1981,OutdoorAdventr,false,406,403,401506,879322,11615,0,10707
1976,CampWildGirls,false,6203,3197,401529,879368,2632,2632,2620
1974,BenGOutdoors,false,6410,3156,402146,881823,2854,2854,3183
1978,TrailsofFreedom,false,314,312,402165,881844,1983,1983,1608
1977,activekidsclub,false,10026,3200,402787,888279,4923,4923,5296
1982,100peaks,false,3438,3199,402963,889343,396,396,881
1987,budget_camping,false,4818,3200,403141,889530,27284,0,25836
1983,HuskyHiker,false,2905,2949,403312,891855,453,453,1117
1984,bigskyry,false,2544,2538,403593,892394,16,16,2060
1979,extremesurvival,false,9006,3200,404044,892862,6121,6121,6581
1988,marmotpro,false,1722,1728,405499,894773,819,819,11074
1986,outsidesd,false,452,452,405509,894961,1294,1294,1301
1985,swgahunter,false,2410,2452,405553,896943,1181,1181,1404
1994,PlayOutdoors,false,2677,2677,406024,897597,15503,0,18125
1991,NaturalBornHike,false,2468,2460,406177,1011270,758,758,2476
1989,outdoordivas,false,5739,3197,406748,1036766,4999,4999,5090
1990,GrandCanyonRose,false,351,346,406774,1036834,1979,1979,1777
1993,VasqueFootwear,false,2086,2094,407302,1038198,959,959,3634
1992,dsoltesz,false,4361,3199,407403,1039650,3252,3252,2977
1995,USFWSPacific,false,3998,3195,411327,1046017,2631,2631,17351
2207,yougrowgirl,false,20044,3196,588,36509,819,819,11154
2203,growwit,false,1510,1510,725,36661,7429,7429,8857
2202,plangarden,false,7195,3200,975,36989,8869,8869,8161
2180,minigarden,false,14966,3105,1202,37232,34855,0,30958
2176,GardenAdvice,false,4730,3200,1834,37905,33498,0,34908
2255,TheresaLoe,false,5023,3199,2202,38457,3040,3040,4288
2244,MrBrownThumb,false,22043,3198,2884,64689,1161,1161,5635
2213,gardenknowhow,false,2416,2455,3736,65659,7465,7465,8483
2251,theMulch,false,1900,1904,4021,65965,4742,4742,4600
2256,Suburban_Farmer,false,14587,3199,4329,66998,3097,3097,4328
2210,EZeeGardening,false,37137,3200,4601,67299,6374,6374,6364
2187,containerplants,false,3854,3195,4902,67611,13739,0,14026
2261,GreenSoil,false,108954,3133,5265,69660,10771,0,9802
2262,NatlGardenClubs,false,1125,1124,5750,70808,11170,0,13798
2259,Indygardener,false,7068,3200,6176,71946,1129,1129,2837
2260,JudyDigginit,false,2517,2515,6532,72435,1800,1800,3993
2265,CostaFarms,false,2687,2688,8401,74622,10154,0,11095
2191,GardenFocus,false,635,630,8448,93019,8741,8741,11928
2228,treesandshrubs,false,6478,3199,8629,93592,5371,5371,5473
2237,ShootGardening,false,4122,3195,8905,94098,6238,6238,7022
2199,The_RHS,false,4055,3166,14344,103670,2896,2896,16587
2263,BotanicalSeeds,false,1553,1558,14724,104114,1007,1007,3038
2177,gardeningfun,false,1912,1911,14886,104495,28997,0,40594
2264,joegardener,false,2764,2759,15261,104990,2849,2849,4212
2267,Michelle_at_FG,false,5442,3200,15424,105176,1686,1686,3147
