id,at_out_rt_in R^2,p,at_in_rt_in R^2,p,at_clos_rt_in R^2,p,at_pag_rt_in R^2,p,ff_out_rt_in R^2,p,ff_in_rt_in R^2,p,ff_clos_rt_in R^2,p,ff_pag_rt_in R^2,p
317,0.390,0.000,0.653,0.000,0.274,0.002,0.458,0.000,0.220,0.013,0.576,0.000,0.184,0.038,0.257,0.003
319,0.367,0.000,0.489,0.000,0.332,0.000,0.167,0.076,0.244,0.009,0.780,0.000,0.228,0.015,0.802,0.000
325,0.245,0.011,0.463,0.000,0.242,0.012,0.186,0.055,0.089,0.357,0.701,0.000,0.055,0.566,0.650,0.000
327,0.172,0.090,0.588,0.000,0.107,0.293,0.248,0.013,0.213,0.031,0.557,0.000,0.071,0.476,0.453,0.000
329,0.469,0.000,0.705,0.000,0.273,0.003,0.392,0.000,0.181,0.049,0.486,0.000,0.168,0.070,0.126,0.174
333,0.142,0.214,0.281,0.013,0.140,0.223,0.085,0.459,0.228,0.040,0.463,0.000,-0.019,0.865,0.371,0.001
337,0.378,0.000,0.524,0.000,0.315,0.001,0.234,0.015,0.102,0.298,0.485,0.000,-0.027,0.785,0.307,0.001
339,0.333,0.000,0.523,0.000,0.321,0.001,0.285,0.002,0.311,0.001,0.560,0.000,0.299,0.001,0.520,0.000
341,0.346,0.000,0.576,0.000,0.072,0.474,0.264,0.008,0.348,0.000,0.630,0.000,0.140,0.164,0.708,0.000
351,0.556,0.000,0.691,0.000,0.375,0.000,0.392,0.000,0.323,0.000,0.659,0.000,0.242,0.009,0.661,0.000
353,0.391,0.000,0.844,0.000,0.176,0.063,0.621,0.000,0.407,0.000,0.779,0.000,0.246,0.007,0.835,0.000
355,0.086,0.365,0.502,0.000,0.094,0.320,0.271,0.004,-0.203,0.030,0.472,0.000,-0.154,0.102,0.508,0.000
357,0.352,0.000,0.777,0.000,0.244,0.003,0.411,0.000,0.238,0.004,0.758,0.000,0.207,0.012,0.785,0.000
359,0.595,0.000,0.680,0.000,0.524,0.000,0.361,0.000,0.387,0.000,0.644,0.000,0.406,0.000,0.596,0.000
