Name,Group1,Group2,Tie_number,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_volume_in,RT_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
HunterMahan,golf,dance,1.0,1,0.34328358209,0.298507462687,0.044776119403,0.000331864532987,60.0,0,9.0,0,0.199004975124,0.144278606965,0.0547263681592,0.00300524433776,70.0,33.0,70.0,0,33.0,0,51.0,44.0,51.0,0,44.0,0
bubbawatson,golf,dance,1.0,1,0.577114427861,0.348258706468,0.228855721393,0.0604211675493,69.0,1.0,46.0,0,0.353233830846,0.238805970149,0.114427860697,0.0111731407044,283.0,37.0,283.0,0,37.0,0,60.0,3.0,60.0,0,3.0,0
ThePGAofAmerica,golf,dance,1.0,1,0.487562189055,0.154228855721,0.333333333333,0.00364284299769,31.0,0,67.0,0,0.10447761194,0.00995024875622,0.0945273631841,0.0004254039237,2.0,50.0,2.0,0,50.0,0,8.0,91.0,8.0,0,91.0,0
PingTour,golf,dance,1.0,1,0.348258706468,0.124378109453,0.223880597015,0.00297143331099,25.0,0,45.0,0,0.0646766169154,0.0298507462687,0.0348258706468,0.0014581253547,11.0,51.0,11.0,0,51.0,0,21.0,253.0,21.0,0,253.0,0
BALLETNEWS,golf,dance,1.0,1,0.119402985075,0.089552238806,0.0298507462687,3.30739363024e-05,18.0,0,6.0,0,0.0845771144279,0.0348258706468,0.0497512437811,0.000440903858316,9.0,11.0,9.0,0,11.0,0,21.0,108.0,21.0,0,108.0,0
lpga,golf,dance,1.0,1,0.313432835821,0.174129353234,0.139303482587,0.000460220865973,35.0,0,28.0,0,0.124378109453,0.0746268656716,0.0497512437811,0.000942438510809,121.0,36.0,121.0,0,36.0,0,82.0,53.0,82.0,0,53.0,0
bovanpelt,golf,dance,1.0,1,0.26368159204,0.174129353234,0.089552238806,0.00177747362656,35.0,0,18.0,0,0.0945273631841,0.0547263681592,0.0398009950249,0.00041821332252,20.0,18.0,20.0,0,18.0,0,19.0,3.0,19.0,0,3.0,0
carrieanninaba,golf,dance,1.0,1,0.278606965174,0.114427860697,0.164179104478,0.00195919726581,23.0,0,33.0,0,0.174129353234,0.0945273631841,0.0796019900498,0.00651506977764,53.0,24.0,53.0,0,24.0,0,15.0,4.0,15.0,0,4.0,0
Keegan_Bradley,golf,dance,1.0,1,0.253731343284,0.203980099502,0.0497512437811,0.00026452780279,41.0,0,10.0,0,0.139303482587,0.089552238806,0.0497512437811,0.00241557339968,68.0,20.0,68.0,0,20.0,0,48.0,9.0,48.0,0,9.0,0
jakobakarr,golf,dance,1.0,1,0.194029850746,0.10447761194,0.089552238806,0.000445791283874,21.0,0,18.0,0,0.144278606965,0.0696517412935,0.0746268656716,0.00169244056424,56.0,57.0,56.0,0,57.0,0,12.0,0,12.0,0,0,0
F_Molinari,golf,dance,1.0,1,0.502487562189,0.18407960199,0.318407960199,0.00528191269768,37.0,0,64.0,0,0.114427860697,0.0547263681592,0.0597014925373,0.00167557124187,47.0,51.0,47.0,0,51.0,0,19.0,22.0,19.0,0,22.0,0
TheChristinaKim,golf,dance,1.0,1,0.532338308458,0.218905472637,0.313432835821,0.00516033668679,44.0,0,63.0,0,0.28855721393,0.149253731343,0.139303482587,0.0122230631126,153.0,117.0,153.0,0,117.0,0,17.0,129.0,17.0,0,129.0,0
Paul_Casey,golf,dance,1.0,1,0.417910447761,0.293532338308,0.124378109453,0.00125597435992,59.0,0,25.0,0,0.139303482587,0.0547263681592,0.0845771144279,0.00506245315976,50.0,54.0,50.0,0,54.0,0,14.0,5.0,14.0,0,5.0,0
Allisonholker,golf,dance,1.0,1,0.497512437811,0.233830845771,0.26368159204,0.0194457104531,47.0,0,53.0,0,0.412935323383,0.194029850746,0.218905472637,0.0162545483418,219.0,297.0,219.0,0,297.0,0,68.0,269.0,68.0,0,269.0,0
