Name,Group1,Group2,Number_between_ties,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_bin_betweeness,FF_own_group_in_volume,FF_other_group_in_volume,FF_own_group_out_volume,FF_other_group_out_volume,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_bin_betweeness,AT_volume_in,AT_volume_out,AT_own_group_in_volume,AT_other_group_in_volume,AT_own_group_out_volume,AT_other_group_out_volume,RT_total_volume_in,RT_total_volume_out,RT_own_group_in_volume,RT_other_group_in_volume,RT_own_group_out_volume,RT_other_group_out_volume
steam_games,gaming,surfing,26.0,1,0.0547263681592,0.0547263681592,0.0,0.0,11.0,0,0,0,0.00995024875622,0.00995024875622,0.0,0.0,3.0,0,3.0,0,0,0,4.0,0,4.0,0,0,0
1UP,gaming,surfing,26.0,1,0.34328358209,0.139303482587,0.203980099502,0.00285481608252,28.0,0,41.0,0,0.0348258706468,0.00497512437811,0.0298507462687,0.00457711442786,1.0,8.0,1.0,0,8.0,0,9.0,10.0,9.0,0,10.0,0
jeffgerstmann,gaming,surfing,26.0,1,0.253731343284,0.189054726368,0.0646766169154,0.00554683134464,38.0,0,13.0,0,0.0796019900498,0.0497512437811,0.0298507462687,0.0218513139489,40.0,21.0,40.0,0,21.0,0,27.0,21.0,27.0,0,21.0,0
travislogie,gaming,surfing,26.0,1,0.422885572139,0.273631840796,0.149253731343,0.00203601408518,55.0,0,30.0,0,0.333333333333,0.174129353234,0.1592039801,0.0129049529946,248.0,240.0,248.0,0,240.0,0,45.0,20.0,45.0,0,20.0,0
deadspace,gaming,surfing,26.0,1,0.248756218905,0.119402985075,0.129353233831,0.000661136560013,24.0,0,26.0,0,0.0149253731343,0.0,0.0149253731343,0.0,0,4.0,0,0,4.0,0,21.0,6.0,21.0,0,6.0,0
EA,gaming,surfing,26.0,2,0.462686567164,0.26368159204,0.199004975124,0.0459057448865,51.0,2.0,40.0,0,0.0995024875622,0.0398009950249,0.0597014925373,0.0139980132683,10.0,17.0,10.0,0,17.0,0,43.0,77.0,43.0,0,77.0,0
Jessica_Chobot,gaming,surfing,26.0,1,0.253731343284,0.149253731343,0.10447761194,0.00780881598495,29.0,1.0,21.0,0,0.124378109453,0.0497512437811,0.0746268656716,0.251366857534,14.0,78.0,14.0,0,77.0,1.0,17.0,24.0,17.0,0,24.0,0
Surfrider,gaming,surfing,26.0,1,0.621890547264,0.273631840796,0.348258706468,0.00576594174356,55.0,0,70.0,0,0.134328358209,0.0746268656716,0.0597014925373,0.00169493014578,46.0,15.0,46.0,0,15.0,0,48.0,56.0,48.0,0,56.0,0
GameTrailers,gaming,surfing,26.0,1,0.442786069652,0.1592039801,0.283582089552,0.00333529271799,32.0,0,57.0,0,0.0995024875622,0.0149253731343,0.0845771144279,0.0274879548836,4.0,23.0,4.0,0,23.0,0,42.0,36.0,42.0,0,36.0,0
Xbox,gaming,surfing,26.0,1,0.238805970149,0.154228855721,0.0845771144279,0.00117952109569,31.0,0,17.0,0,0.044776119403,0.0348258706468,0.00995024875622,0.00475276369095,11.0,2.0,11.0,0,2.0,0,31.0,27.0,31.0,0,27.0,0
OXM,gaming,surfing,26.0,1,0.363184079602,0.119402985075,0.243781094527,0.00212434967014,24.0,0,49.0,0,0.0597014925373,0.0,0.0597014925373,0.0,0,33.0,0,0,33.0,0,28.0,14.0,28.0,0,14.0,0
AdamSessler,gaming,surfing,26.0,1,0.18407960199,0.1592039801,0.0248756218905,0.000102237869232,32.0,0,5.0,0,0.0696517412935,0.0298507462687,0.0398009950249,0.00217179254876,21.0,13.0,21.0,0,13.0,0,10.0,8.0,10.0,0,8.0,0
amazongames,gaming,surfing,26.0,1,0.452736318408,0.134328358209,0.318407960199,0.00618652628031,27.0,0,64.0,0,0.00995024875622,0.00497512437811,0.00497512437811,2.78067703441e-05,1.0,4.0,1.0,0,4.0,0,25.0,6.0,25.0,0,6.0,0
Patrickgud,gaming,surfing,26.0,1,0.557213930348,0.293532338308,0.26368159204,0.00278968788577,59.0,0,53.0,0,0.243781094527,0.134328358209,0.109452736318,0.00192336093171,134.0,178.0,134.0,0,178.0,0,43.0,15.0,43.0,0,15.0,0
IGN,gaming,surfing,26.0,1,0.373134328358,0.228855721393,0.144278606965,0.00377153978132,46.0,0,29.0,0,0.0547263681592,0.0497512437811,0.00497512437811,0.0065235744079,63.0,1.0,63.0,0,1.0,0,42.0,53.0,42.0,0,53.0,0
LairdLife,gaming,surfing,26.0,1,0.149253731343,0.114427860697,0.0348258706468,0.000287586284567,23.0,0,7.0,0,0.0149253731343,0.0149253731343,0.0,0.0,3.0,0,3.0,0,0,0,0,0,0,0,0,0
theSURFBANG,gaming,surfing,26.0,1,0.626865671642,0.1592039801,0.467661691542,0.0065914147425,32.0,0,94.0,0,0.268656716418,0.0547263681592,0.213930348259,0.0141192987349,24.0,141.0,24.0,0,141.0,0,16.0,205.0,16.0,0,205.0,0
