Project,Community,Person_ID,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_vol_in,FF_vol_out,FF_groups_in,FF_groups_out,FF_rec,FF_bin_betweeness,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_vol_in,AT_vol_out,AT_groups_in,AT_groups_out,AT_rec,AT_bin_betweeness,AT_avg_tie_strength,AT_strength_centrality_in,RT_bin_in_degree,RT_bin_out_degree,RT_vol_in,RT_vol_out
584,psychology_mentalhealth,NAMICommunicate,1,0.00540118826142,0.00306067334814,0.00234051491328,51.0,39.0,27,15,0.168831168831,1.05846322643e-06,0.00282062053652,0.000840184840665,0.00198043569585,17.0,62.0,12,10,0.0217391304348,4.22464173513e-05,1.68085106383,7.01259327974,0.000660145231951,0.000540118826142,39.0,11.0
584,psychology_mentalhealth,WarrenThinking,1,0.00372081858009,0.00198043569585,0.00174038288423,33.0,29.0,20,8,0.127272727273,1.30369807764e-05,0.00234051491328,0.000660145231951,0.00168036968133,24.0,65.0,3,11,0.3,5.51896809913e-05,2.28205128205,10.0216326531,0.000120026405809,0.000420092420332,3.0,14.0
584,psychology_mentalhealth,psychmag,1,0.00120026405809,0.00114025085519,6.00132029046e-05,19.0,1.0,6,1,0.0526315789474,0.0,0.00144031686971,0.000420092420332,0.00102022444938,15.0,49.0,2,5,0.2,2.48424156295e-06,2.66666666667,6.62,0.000360079217428,0.0,9.0,0
584,psychology_mentalhealth,happier,1,0.0291664166117,0.0129028386245,0.0162635779872,215.0,271.0,78,79,0.760869565217,2.48038575885e-05,0.00312068655104,0.000300066014523,0.00282062053652,9.0,213.0,5,27,0.04,1.12449314879e-05,4.26923076923,3.95,0.000120026405809,6.00132029046e-05,2.0,4.0
584,psychology_mentalhealth,therapy4help,1,0.0122426933925,0.00678149192822,0.00546120146432,113.0,91.0,40,34,0.758620689655,1.0152700892e-05,0.00120026405809,0.000720158434856,0.000480105623237,44.0,23.0,7,7,0.111111111111,7.09531236951e-06,3.35,22.3433333333,0.000120026405809,0.00108023765228,3.0,23.0
584,psychology_mentalhealth,DarleneOuimet,1,0.022024845466,0.00930204645022,0.0127227990158,155.0,212.0,46,60,0.683486238532,4.59659850891e-05,0.000840184840665,0.000240052811619,0.000600132029046,8.0,68.0,4,6,0.166666666667,6.49506987606e-06,5.42857142857,4.21,0.000120026405809,0.000180039608714,2.0,4.0
584,psychology_mentalhealth,TogetherUK,1,0.00792174278341,0.00342075256556,0.00450099021785,57.0,75.0,17,22,0.552941176471,2.16227652792e-05,0.00348076576847,0.000600132029046,0.00288063373942,33.0,291.0,3,13,0.16,0.000390839229765,5.58620689655,11.83,0.000300066014523,6.00132029046e-05,6.0,1.0
584,psychology_mentalhealth,GradPsychology,1,0.00738162395727,0.00186040929004,0.00552121466723,31.0,92.0,17,36,0.28125,9.88846567996e-06,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0
584,psychology_mentalhealth,psychologistdan,1,0.00612134669627,0.00210046210166,0.00402088459461,35.0,67.0,22,33,0.478260869565,2.2249257315e-05,0.00090019804357,0.0,0.00090019804357,0,401.0,0,12,0.0,2.55306368222e-07,26.7333333333,0,6.00132029046e-05,0.000420092420332,1.0,9.0
584,psychology_mentalhealth,RobACareerPsych,1,0.00570125427594,0.001260277261,0.00444097701494,21.0,74.0,9,27,0.25,1.29915410125e-05,0.00108023765228,0.000120026405809,0.000960211246474,6.0,33.0,2,14,0.125,1.63494663396e-06,2.16666666667,3.42,0.000120026405809,0.00078017163776,4.0,15.0
