Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
MMFlint,tvshows_drama_hollywood,291,tvshows_drama_hollywood,291,1,"tvshows_drama_hollywood,291"
JonasBrothers,tvshows_drama_hollywood,133,tvshows_drama_hollywood,133,1,"tvshows_drama_hollywood,133"
ConanOBrien,tvshows_drama_hollywood,9,tvshows_drama_hollywood,9,1,"tvshows_drama_hollywood,9"
FocusFeatures,tvshows_drama_hollywood,355,tvshows_drama_hollywood,355,1,"tvshows_drama_hollywood,355"
THR,tvshows_drama_hollywood,85,tvshows_drama_hollywood,85,1,"tvshows_drama_hollywood,85"
RobKardashian,tvshows_drama_hollywood,292,tvshows_drama_hollywood,292,1,"tvshows_drama_hollywood,292"
rustyrockets,tvshows_drama_hollywood,54,tvshows_drama_hollywood,54,1,"tvshows_drama_hollywood,54"
BillCosby,tvshows_drama_hollywood,119,tvshows_drama_hollywood,119,1,"tvshows_drama_hollywood,119"
cher,tvshows_drama_hollywood,492,tvshows_drama_hollywood,492,1,"tvshows_drama_hollywood,492"
stonenobrien,tvshows_drama_hollywood,449,tvshows_drama_hollywood,449,1,"tvshows_drama_hollywood,449"
OKMagazine,tvshows_drama_hollywood,411,tvshows_drama_hollywood,411,1,"tvshows_drama_hollywood,411"
TheRealXtina,tvshows_drama_hollywood,361,tvshows_drama_hollywood,361,1,"tvshows_drama_hollywood,361"
Eminem,tvshows_drama_hollywood,114,tvshows_drama_hollywood,114,1,"tvshows_drama_hollywood,114"
iansomerhalder,tvshows_drama_hollywood,41,tvshows_drama_hollywood,41,1,"tvshows_drama_hollywood,41"
nbc30rock,tvshows_drama_hollywood,287,tvshows_drama_hollywood,287,1,"tvshows_drama_hollywood,287"
hollywoodtv,tvshows_drama_hollywood,485,tvshows_drama_hollywood,485,1,"tvshows_drama_hollywood,485"
jessetyler,tvshows_drama_hollywood,176,tvshows_drama_hollywood,176,1,"tvshows_drama_hollywood,176"
BrunoMars,tvshows_drama_hollywood,75,tvshows_drama_hollywood,75,1,"tvshows_drama_hollywood,75"
MadMen_AMC,tvshows_drama_hollywood,501,tvshows_drama_hollywood,501,1,"tvshows_drama_hollywood,501"
wbpictures,tvshows_drama_hollywood,132,tvshows_drama_hollywood,132,1,"tvshows_drama_hollywood,132"
JordinSparks,tvshows_drama_hollywood,121,tvshows_drama_hollywood,121,1,"tvshows_drama_hollywood,121"
hughhefner,tvshows_drama_hollywood,290,tvshows_drama_hollywood,290,1,"tvshows_drama_hollywood,290"
selenagomez,tvshows_drama_hollywood,17,tvshows_drama_hollywood,17,1,"tvshows_drama_hollywood,17"
nickjfrost,tvshows_drama_hollywood,391,tvshows_drama_hollywood,391,1,"tvshows_drama_hollywood,391"
