Project,Name,Member_count,Competing_Lists,Shared_Language,Shared_Language_Ratio,FF_Nodes,AT_Nodes,RT_Nodes,FF_Edges,AT_Edges,RT_Edges,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,newspaper,3704,112,361,0.030621766,101,101,101,634,94,48,0.062772277,0.024653465,2.074671053,0.225765306,0.611552066,0.245794508,0.360515021,0.146341463,0.229644026,0.141975309,0.024158416,244
584,nursing,2407,104,15098,2.997419099,101,101,101,4619,1184,654,0.457326733,0.712871287,1.414752475,1.919188596,0.785151687,0.450243917,0.51145288,0.356242841,0.542725893,0.316995279,0.295544554,2985
584,nutrition,9947,127,5666,0.678156792,101,101,101,4233,1461,666,0.419108911,0.775544554,1.618217822,1.996381579,0.693044081,0.469569676,0.607061503,0.359069767,0.575566697,0.436451874,0.193663366,1956
584,outdoors_hiking,12172,112,12611,4.456183746,101,101,101,4184,1540,579,0.414257426,1.047425743,1.566893424,1.720606061,0.691416237,0.508176962,0.608612072,0.371326803,0.524363919,0.300847656,0.22039604,2226
584,parenting,13635,120,8759,1.192025041,101,101,101,5478,1286,481,0.542376238,0.947920792,1.387326733,2.097878788,0.776980181,0.450898936,0.707605985,0.309572301,0.637882631,0.321490208,0.168316832,1700
584,peace,5385,116,5775,0.208792798,101,101,101,2856,532,558,0.282772277,0.285049505,1.902574257,1.631837307,0.747725383,0.55837169,0.454175153,0.228637413,0.508984952,0.326310551,0.308613861,3117
584,perl,1323,101,6296,6.705005325,101,101,101,3660,2263,1039,0.362376238,1.529405941,1.504356436,1.733131313,0.730897956,0.623238692,0.418604651,0.515740121,0.470748637,0.478897789,0.285742574,2886
584,pharma,5722,119,13118,5.36085002,101,101,101,5505,1549,822,0.545049505,1.09029703,1.30049505,1.603695409,0.832166893,0.523270052,0.528742016,0.405626134,0.609610499,0.46202875,0.330594059,3339
584,philosophy,4185,107,5811,1.262986307,101,101,101,1536,620,429,0.152079208,0.755940594,1.886969697,1.743064182,0.566206916,0.495409897,0.413063477,0.428571429,0.369623656,0.466360856,0.222475248,2247
584,photography,68938,120,18442,1.190882087,101,101,101,3042,1227,577,0.301188119,0.69960396,1.635445545,2.046491228,0.640819599,0.426589714,0.481012658,0.332247557,0.402090822,0.369449886,0.282475248,2853
584,php,4296,110,15022,3.639050388,101,101,101,3630,3729,1714,0.359405941,4.781881188,1.618712871,1.672026386,0.724018074,0.721334947,0.414102065,0.634092901,0.534413045,0.666541083,0.615049505,6212
584,piano,1536,101,10459,1.689660743,101,101,101,2034,501,179,0.201386139,0.702871287,2.101584158,2.691496267,0.619114657,0.415984135,0.687966805,0.518181818,0.486068169,0.47852349,0.065148515,658
584,poetry,7552,111,13788,1.578838887,101,101,101,3560,1161,855,0.352475248,1.081584158,1.55970297,2.045339785,0.660847288,0.477446454,0.645862228,0.295758929,0.512152184,0.38350976,0.666930693,6736
584,poker,10632,109,11915,0.728256219,101,101,101,4047,3277,1243,0.400693069,2.365247525,1.574554455,1.712673267,0.745623706,0.645220289,0.39986164,0.455797423,0.447103539,0.477891206,0.405346535,4094
584,politics_news,220652,156,3740,0.013487441,101,101,101,2594,989,298,0.256831683,0.736138614,1.641616162,1.949715969,0.672065611,0.370854676,0.267220322,0.181600956,0.324567365,0.21348854,0.279405941,2822
584,poverty,2447,122,7044,0.815749855,101,101,101,1955,728,453,0.193564356,0.398514851,1.952079208,2.599104143,0.567210451,0.45553135,0.477702192,0.386666667,0.375244123,0.354333261,0.211584158,2137
584,pregnancy,1747,111,8782,1.670534525,101,101,101,2309,520,293,0.228613861,0.558910891,1.292376238,1.616666667,0.7368831,0.372411661,0.509803922,0.303258145,0.472892396,0.345248734,0.117029703,1182
584,psychology_mentalhealth,7569,119,36,2.117647059,101,101,101,3754,842,521,0.371683168,0.876039604,1.362376238,1.69835278,0.698581943,0.386897952,0.600170503,0.25297619,0.51636996,0.226938275,0.214257426,2164
584,publicrelations,2642,115,4,1.333333333,101,101,101,2945,766,166,0.291584158,0.483168317,1.746435644,2.257675439,0.631543428,0.410594922,0.712209302,0.247557003,0.519490726,0.326949519,0.063762376,644
584,publishing_literature,22559,133,725,0.175544794,101,101,101,5235,2114,956,0.518316832,1.193267327,1.479292929,1.927128713,0.781160075,0.520652527,0.540612125,0.283545841,0.60230228,0.359345763,0.294653465,2976
584,python,2962,107,6969,1.731858847,101,101,101,3539,3230,1466,0.35039604,3.959009901,1.594554455,1.598585859,0.694416616,0.680681882,0.483857442,0.604570293,0.500856506,0.581419671,0.446732673,4512
584,racing,7508,103,5232,0.214241841,101,101,101,3102,2829,1095,0.307128713,3.527326733,1.721980198,1.718019802,0.690086324,0.687902712,0.406802721,0.471138846,0.450020229,0.510082502,0.447524752,4520
