Project,Name,Member_count,FF_Nodes,AT_Nodes,RT_Nodes,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,cycling,15358,101,101,101,0.324653465347,0.442376237624,1.71603960396,2.08390022676,0.657119881772,0.392037016843,0.341653027823,0.340717299578,0.390575015457,0.267701548092,0.307128712871,3102.0
584,dance,14952,101,101,101,0.281188118812,0.598712871287,1.88504950495,2.33297029703,0.692650838891,0.534503471542,0.482254697286,0.402663934426,0.47229507282,0.388520971302,0.33396039604,3373.0
584,database,800,101,101,101,0.103465346535,0.543564356436,2.31075110457,2.01139240506,0.535695218697,0.318797933662,0.429548563611,0.473684210526,0.390709130485,0.61838790932,0.130198019802,1315.0
584,dating,3617,101,101,101,0.396534653465,1.09079207921,1.58633663366,1.766645189,0.657527415392,0.517329875893,0.623429266315,0.376390076989,0.517188355312,0.433834659896,0.228514851485,2308.0
584,democrat,1731,101,101,101,0.192277227723,0.0313861386139,1.81828282828,0.374561403509,0.643508626325,0.134163100439,0.311276164754,0.0979020979021,0.283108015841,0.0489949748744,0.0558415841584,564.0
584,dental,4359,101,101,101,0.347425742574,0.117920792079,1.60287128713,2.00062421973,0.696089726248,0.237261455507,0.46820083682,0.233516483516,0.451329083881,0.141652613828,0.101881188119,1029.0
584,developer,18075,101,101,101,0.11,0.757524752475,2.46878787879,2.44801462905,0.47605631775,0.437737040898,0.401008827238,0.528942115768,0.365169650806,0.476484358374,0.122574257426,1238.0
584,director,3815,101,101,101,0.0808910891089,0.140594059406,2.91847254366,1.69420326864,0.438631817102,0.235823125248,0.264705882353,0.293838862559,0.210328422345,0.214681440443,0.0781188118812,789.0
584,documentary,1121,101,101,101,0.349504950495,0.19099009901,1.64585858586,2.01876000915,0.715778010023,0.40204007678,0.441404654961,0.208255159475,0.486936698004,0.207003089598,0.23495049505,2373.0
584,drums,598,101,101,101,0.268217821782,0.119801980198,1.7103960396,1.56416978777,0.689949856168,0.287902485977,0.332513526808,0.112980769231,0.375971965287,0.125529833714,0.151188118812,1527.0
584,energy,12582,101,101,101,0.345742574257,0.185841584158,1.59653465347,1.39553335292,0.670300930913,0.236322782265,0.556843513152,0.180147058824,0.469945355191,0.173063255153,0.187920792079,1898.0
584,engineering,3547,101,101,101,0.182673267327,0.0283168316832,1.89354092152,1.83976731888,0.636301394994,0.232047109016,0.404109589041,0.153153153153,0.3674733726,0.0856697819315,0.0522772277228,528.0
584,etsy_handmade,21345,101,101,101,0.580198019802,0.791881188119,1.36673267327,2.56474747475,0.767507686388,0.33666659187,0.800307219662,0.136666666667,0.692949747445,0.188359933957,0.0469306930693,474.0
584,exercise_fitness,28653,101,101,101,0.348712871287,0.307128712871,1.70881188119,2.21745595973,0.649859489006,0.258575768552,0.555653710247,0.188911704312,0.468420557782,0.183503836317,0.126534653465,1278.0
584,fantasy,5763,101,101,101,0.254257425743,0.683465346535,1.73920792079,2.12225877193,0.617417688796,0.434130333015,0.336803748048,0.322875816993,0.33401850896,0.30278701686,0.391089108911,3950.0
584,filmfestival,977,101,101,101,0.255544554455,0.0270297029703,1.66237623762,0.88768115942,0.662703461249,0.0813424096033,0.287281795511,0.110169491525,0.336093795894,0.0557851239669,0.0406930693069,411.0
584,finance_economics,25056,101,101,101,0.221584158416,0.591881188119,1.92321170893,0.816772056609,0.64537400742,0.425486062905,0.354721549637,0.388524590164,0.39652966576,0.513263831544,0.276435643564,2792.0
584,fishing,5456,101,101,101,0.429207920792,0.160495049505,1.47782178218,1.78175438596,0.700268137784,0.344577096896,0.640181611805,0.272471910112,0.545330749052,0.246309646413,0.101287128713,1023.0
584,flash,3711,101,101,101,0.300297029703,1.85514851485,1.70930693069,1.91754277469,0.626388333921,0.597509260338,0.404817044928,0.489640883978,0.42697725663,0.51117918272,0.437326732673,4417.0
584,food_chef,127932,100,100,100,0.362525252525,0.448282828283,1.60338074624,2.15844298246,0.728468269031,0.384785501222,0.37404287902,0.30102622577,0.44926898103,0.287032393942,0.264646464646,2620.0
584,gambling,951,101,101,101,0.122574257426,0.136336633663,2.00878787879,0.99853886616,0.437762015825,0.319003136002,0.410022779043,0.238709677419,0.265024304021,0.38453815261,0.0591089108911,597.0
584,gaming,16728,101,101,101,0.276831683168,0.183861386139,1.74306930693,2.50492721165,0.665482630225,0.245991348451,0.293246993525,0.193181818182,0.337245800177,0.177622986504,0.198118811881,2001.0
584,gardening,6536,101,101,101,0.596336633663,1.17871287129,1.38405940594,1.75203057812,0.784968119254,0.515379149835,0.716443431177,0.356768100735,0.672371870926,0.462515262515,0.461683168317,4663.0
584,genealogy,1977,101,101,101,0.674554455446,1.82594059406,1.31108910891,1.68059405941,0.864752226698,0.641164512265,0.670262319196,0.386479591837,0.71423397528,0.44965003084,0.531782178218,5371.0
584,geography,1395,101,101,101,0.213366336634,0.175742574257,1.82742574257,2.2126984127,0.582972688062,0.229994901127,0.461016949153,0.288025889968,0.367969212552,0.204956268222,0.163366336634,1650.0
584,golf,17167,101,101,101,0.389108910891,0.485346534653,1.5502020202,2.02898989899,0.770461476207,0.396740416092,0.295746785361,0.246777163904,0.423170721345,0.26818044659,0.297128712871,3001.0
584,guitar,5839,101,101,101,0.300297029703,0.219405940594,1.44118811881,1.66971916972,0.70670564888,0.402703624389,0.45537428023,0.18487394958,0.388419973679,0.159315455187,0.149504950495,1510.0
584,hacking,1782,101,101,101,0.155544554455,0.290099009901,1.99881188119,1.69914529915,0.586284558228,0.401741839207,0.284546197874,0.339195979899,0.309340063407,0.31936997319,0.347227722772,3507.0
584,healthcare_medicine,21744,101,101,101,0.450099009901,0.724752475248,1.49484848485,1.6142436356,0.743179408973,0.478355870129,0.503306878307,0.341240875912,0.526811935107,0.397667517051,0.402673267327,4067.0
584,highered,6305,101,101,101,0.473762376238,3.55227722772,1.51504950495,1.72405940594,0.731035842192,0.652362607078,0.651708664135,0.573606729758,0.652041096602,0.638692667396,0.305247524752,3083.0
584,history,9979,101,101,101,0.331089108911,0.130099009901,1.61178217822,2.36181651796,0.664359870003,0.254438456847,0.460262008734,0.208333333333,0.420149791684,0.15690376569,0.156831683168,1584.0
584,hockey,14937,101,101,101,0.445346534653,0.307524752475,1.55396039604,2.48142182131,0.788672126608,0.42798126051,0.437979539642,0.218944099379,0.516859484298,0.2872639947,0.42603960396,4303.0
584,homeschool_school,11250,101,101,101,0.589900990099,1.01435643564,1.40376237624,1.75733482643,0.803365364645,0.482151816975,0.713053479011,0.37532808399,0.682476390867,0.42620040142,0.28099009901,2838.0
584,horror,4166,101,101,101,0.432079207921,0.528514851485,1.50940594059,2.22646464646,0.716445293265,0.348510824709,0.543140028289,0.200263504611,0.507689624556,0.212312392084,0.139108910891,1405.0
584,hospitality,8587,101,101,101,0.342574257426,0.165643564356,1.61767676768,2.23894993895,0.63138567644,0.282596574319,0.54257690593,0.14623655914,0.451984683626,0.13231292517,0.103564356436,1046.0
584,housing,1970,101,101,101,0.393267326733,0.177920792079,1.7396039604,2.33146873207,0.771840348993,0.375055111241,0.501133786848,0.226937269373,0.558371673064,0.227293115048,0.217920792079,2201.0
584,html,2309,101,101,101,0.177227722772,1.20079207921,1.79643564356,1.77089864159,0.580029369349,0.553503154079,0.389449185415,0.50054884742,0.349814298979,0.490281857384,0.40504950495,4091.0
584,humanrights_activism_justice,19746,101,101,101,0.21297029703,0.0767326732673,1.84089108911,2.82354443309,0.542307673361,0.201009860742,0.476321207962,0.0987654320988,0.357730555227,0.118760757315,0.274851485149,2776.0
584,hunting,2504,101,101,101,0.572871287129,0.767920792079,1.44881188119,1.6712206047,0.799950046175,0.493220471841,0.64937286203,0.314745972739,0.632946351952,0.333946568549,0.18297029703,1848.0
584,innovation,14499,101,101,101,0.358514851485,0.666534653465,1.67475247525,2.00652219651,0.674841633721,0.455903297094,0.539540816327,0.295620437956,0.51657511193,0.364352737542,0.27702970297,2798.0
584,insurance,5325,101,101,101,0.349603960396,0.192574257426,1.68940594059,1.81933094995,0.685623026512,0.392628310584,0.521327014218,0.28431372549,0.450275168476,0.235395189003,0.117920792079,1191.0
584,investor,3429,101,101,101,0.244257425743,0.53099009901,2.10636982066,1.7495697074,0.662748368378,0.485103923801,0.38829487901,0.374125874126,0.495861869194,0.434734422461,0.250891089109,2534.0
584,ipad,2823,101,101,101,0.0875247524752,0.31396039604,2.20418470418,2.37451923077,0.503953232764,0.392294423005,0.3,0.353159851301,0.221437244729,0.399477806789,0.0575247524752,581.0
584,islam,3228,101,101,101,0.122376237624,0.0255445544554,1.8840445269,1.62813283208,0.540337712691,0.14821903243,0.242211055276,0.12380952381,0.276627819331,0.109523809524,0.0994059405941,1004.0
584,java,2705,101,101,101,0.184554455446,0.833762376238,1.86227722772,2.01791713326,0.551775819358,0.428950805959,0.329529243937,0.496240601504,0.323796413424,0.3576525478,0.681485148515,6883.0
584,jazz,7422,101,101,101,0.382277227723,0.455148514851,1.46237623762,1.97708333333,0.706243279744,0.410751816993,0.449868569283,0.240797546012,0.453649283063,0.278475530533,0.259702970297,2623.0
584,jewish,2333,101,101,101,0.535742574257,0.428316831683,1.38910891089,1.88646464646,0.779118633944,0.380415869384,0.592876067118,0.255192878338,0.602117061021,0.273764570678,0.226138613861,2284.0
584,jokes,1347,101,101,101,0.0472277227723,0.0131683168317,2.34924760602,0.107862903226,0.395557784133,0.0714285714286,0.485981308411,0.0851063829787,0.282518641259,0.0642857142857,0.11495049505,1161.0
584,lawyer_legal,19862,101,101,101,0.536336633663,0.997623762376,1.44158415842,2.05885384457,0.75888007624,0.439712821188,0.65758873929,0.366886171214,0.608823263284,0.383944717127,0.289504950495,2924.0
584,lesbian,2125,101,101,101,0.260396039604,0.122277227723,1.63919191919,1.96846271706,0.671803016873,0.229100585696,0.458679977815,0.0809248554913,0.423876066363,0.10085106383,0.050297029703,508.0
584,liberal,5334,101,101,101,0.383069306931,0.271485148515,1.83191919192,2.29682130584,0.722529056107,0.287266196591,0.510148321624,0.130124777184,0.522565547543,0.160837307896,0.584059405941,5899.0
584,linguistics,1851,101,101,101,0.284752475248,0.693267326733,1.78613861386,2.60985824742,0.697250896643,0.523157139823,0.474115838032,0.425138632163,0.459225332784,0.38224248927,0.455148514851,4597.0
584,linux_opensource,8908,101,101,101,0.100495049505,0.0636633663366,1.62346534653,1.1325136612,0.511122736684,0.190623833282,0.225845410628,0.0884955752212,0.169547640622,0.0623721881391,0.0539603960396,545.0
584,literacy,2955,101,101,101,0.329306930693,0.391584158416,1.69504950495,2.32456140351,0.651655209799,0.371461434153,0.614563106796,0.328440366972,0.503347391394,0.319245362563,0.387722772277,3916.0
584,mac_iphone,23853,101,101,101,0.116732673267,0.247227722772,2.03439932674,1.93765822785,0.541633897835,0.449317643502,0.274298056156,0.361370716511,0.30024765885,0.405755395683,0.117920792079,1191.0
584,magazine,24106,101,101,101,0.100891089109,0.010396039604,2.03283001601,0.208521870287,0.43348545128,0.0724969474969,0.27215980025,0.125,0.268214055448,0.0290697674419,0.0135643564356,137.0
584,magician,1141,101,101,101,0.257722772277,0.642772277228,1.74534653465,2.1054071113,0.675114614459,0.38907303765,0.358559498956,0.331592689295,0.396769778264,0.30559991483,0.173168316832,1749.0
584,management,7405,101,101,101,0.0819801980198,0.0540594059406,2.22309612984,1.9247311828,0.387367955839,0.166989624132,0.401015228426,0.205128205128,0.303244217483,0.1375,0.0384158415842,388.0
584,marketing,139084,101,101,101,0.442574257426,0.465841584158,1.49474335189,1.90241280459,0.725351691733,0.391667918931,0.714614499425,0.336146272855,0.608399993751,0.36889596603,0.104752475248,1058.0
584,marriage,1050,101,101,101,0.418712871287,0.51702970297,1.53386138614,1.81606039808,0.721094661056,0.504098137579,0.558216654385,0.38029925187,0.524618473564,0.346226253637,0.363366336634,3670.0
584,mathematics,1666,101,101,101,0.219801980198,0.741386138614,1.8295049505,1.84344262295,0.678681087917,0.479455350641,0.465346534653,0.402337228715,0.467370554201,0.347007397445,0.369603960396,3733.0
584,meditation,2322,101,101,101,0.170792079208,0.0336633663366,1.83529169243,0.741921768707,0.479446845128,0.160868156787,0.731927710843,0.218390804598,0.383314159103,0.110778443114,0.0157425742574,159.0
584,mobile_smartphone,21393,101,101,101,0.205544554455,0.156336633663,1.63207920792,2.47863247863,0.549640182533,0.286217192444,0.427785419532,0.207667731629,0.317225583894,0.256944444444,0.0948514851485,958.0
584,motorcycle,4008,101,101,101,0.279603960396,0.762871287129,1.83920792079,2.05650880805,0.656040049855,0.449585595018,0.462454686691,0.343085106383,0.418566358666,0.312816799421,0.345643564356,3491.0
584,multimedia,2802,101,101,101,0.326336633663,0.189702970297,1.63722772277,1.85105112279,0.686416977633,0.398653194276,0.400764980875,0.296641791045,0.457007363847,0.259232954545,0.256138613861,2587.0
584,musician_singer,38673,101,101,101,0.0727722772277,0.0235643564356,1.98222222222,0.3357685564,0.372538085094,0.111649179446,0.222961730449,0.107142857143,0.127158671587,0.0445544554455,0.0188118811881,190.0
584,nature,12229,101,101,101,0.44495049505,0.916831683168,1.53198019802,2.31983527797,0.687677442475,0.403186241717,0.734465457352,0.321428571429,0.587400243642,0.377263434579,0.380891089109,3847.0
584,neuroscience,2258,101,101,101,0.300099009901,0.292475247525,1.55524752475,1.88949579832,0.670126314771,0.395542673784,0.376475930972,0.381609195402,0.381075762081,0.355691554468,0.307425742574,3105.0
584,newspaper,3704,101,101,101,0.0627722772277,0.00356435643564,2.07467105263,0.125,0.55421906014,0.0,0.360515021459,0.08,0.229644026187,0.333333333333,0.0241584158416,244.0
584,nursing,2407,101,101,101,0.457326732673,0.340396039604,1.41475247525,2.09900124844,0.785151686956,0.372404577329,0.511452879581,0.302803738318,0.542725892733,0.272677990604,0.295544554455,2985.0
584,nutrition,9947,101,101,101,0.419108910891,0.309306930693,1.61821782178,1.92224080268,0.693044081103,0.385478866281,0.607061503417,0.264663805436,0.575566696662,0.349986442516,0.171881188119,1736.0
