Project,Community,Person_ID,Place_on_list,Shared_Language,Other_language,FF_bin_deg,FF_bin_in_deg,FF_bin_out_deg,FF_vol_in,FF_vol_out,FF_bin_close,FF_bin_page,FF_rec,AT_bin_deg,AT_bin_in_deg,AT_bin_out_deg,AT_bin_close,AT_bin_page,AT_rec,AT_avg,AT_vol_in,AT_vol_out,RT_bin_deg_in,RT_bin_deg_out,RT_vol_in,RT_vol_out,RT_global_vol_in,RT_global_vol_out
584,accounting,going_concern,19,527,0,0.7,0.58,0.12,58,12,0.531914894,0.012519383,0.206896552,0.25,0.19,0.06,0.359122137,0.031512992,0.136363636,6.52,121,42,0.10989011,0.10989011,47,97,49,114
584,accounting,PrestiNaegele,63,18,0,0.89,0.43,0.46,43,46,0.649350649,0.0079607,0.893617021,0.01,0,0.01,0.304888889,0.00168599,0,1,0,1,0.043956044,0.010989011,4,14,4,16
584,accounting,cfarmand,31,20,0,0.86,0.43,0.43,43,43,0.636942675,0.008242087,0.755102041,0.36,0.19,0.17,0.485,0.011794651,0.5,9.083333333,169,158,0.043956044,0.197802198,7,65,7,72
584,accounting,taxmOuth,61,6,0,0.8,0.44,0.36,44,36,0.609756098,0.008316472,0.818181818,0.32,0.1,0.22,0.534602273,0.00488434,0.28,4.4375,67,75,0.021978022,0,3,0,3,0
584,accounting,QuickbooksUsers,49,51,0,1.17,0.53,0.64,53,64,0.735294118,0.009743842,0.720588235,0.53,0.25,0.28,0.537657143,0.017846042,0.472222222,12.79245283,354,324,0.131868132,0.164835165,44,46,45,46
584,accounting,NoCoCPA,55,1,0,0.5,0.24,0.26,24,26,0.574712644,0.005091169,0.785714286,0.1,0.05,0.05,0.427681818,0.002143276,0.428571429,4.4,11,33,0.010989011,0.021978022,1,2,1,2
584,accounting,AICPA_Insiders,18,20,0,0.82,0.53,0.29,53,29,0.584795322,0.012275793,0.344262295,0.19,0.1,0.09,0.456747573,0.012282883,0.357142857,3.368421053,37,27,0.120879121,0.010989011,142,1,142,1
584,accounting,cfarmand_cpa,83,4,0,0.84,0.37,0.47,37,47,0.653594771,0.007233143,0.714285714,0.11,0.06,0.05,0.423828829,0.003741666,0.375,1.909090909,13,8,0.010989011,0.054945055,5,10,5,10
584,accounting,lgboomer,68,6,0,0.92,0.51,0.41,51,41,0.628930818,0.01025372,0.483870968,0.09,0.08,0.01,0.343394161,0.003606343,0.125,1.888888889,15,2,0.054945055,0,6,0,6,0
584,accounting,LongforSuccess,72,44,0,0.55,0.25,0.3,25,30,0.588235294,0.005452277,0.527777778,0.09,0.06,0.03,0.348481481,0.004179938,0.5,1.777777778,11,5,0.032967033,0.032967033,3,3,3,3
584,accounting,YoungCPANetwork,4,76,0,1.69,0.8,0.89,80,89,0.900900901,0.016071601,0.79787234,0.39,0.24,0.15,0.482512821,0.007081475,0.21875,3.461538462,93,42,0.285714286,0.098901099,232,11,233,12
584,accounting,TaxMan45,98,23,0,1.1,0.51,0.59,51,59,0.709219858,0.009400877,0.803278689,0.4,0.2,0.2,0.516978022,0.012849425,0.428571429,8.55,110,232,0.065934066,0.087912088,10,9,11,14
584,accounting,CPA_mom,27,45,0,1.31,0.55,0.76,55,76,0.806451613,0.010283081,0.658227848,0.57,0.21,0.36,0.577239264,0.014821959,0.583333333,14.42105263,214,608,0.175824176,0.120879121,24,11,27,15
584,accounting,exuberantacct,86,36,0,0.33,0.3,0.03,30,3,0.502512563,0.006176732,0.064516129,0.27,0.08,0.19,0.485,0.003067767,0.285714286,4.518518519,29,93,0,0.010989011,0,1,0,3
584,accounting,LasVegasCPA,71,1,0,0.76,0.3,0.46,30,46,0.649350649,0.006048493,0.617021277,0.06,0.06,0,0,0.002135687,0,2.333333333,14,0,0.010989011,0,1,0,1,0
584,accounting,RivesCPA,58,45,0,1.26,0.62,0.64,62,64,0.735294118,0.0115124,0.96875,0.68,0.23,0.45,0.61496732,0.006917897,0.387755102,12.02941176,106,712,0.10989011,0.153846154,18,16,18,28
584,accounting,LinkedCPA,26,21,0,1.19,0.49,0.7,49,70,0.769230769,0.009461214,0.545454545,0.25,0.06,0.19,0.492617801,0.002172843,0.136363636,1.92,9,39,0.021978022,0.010989011,2,1,2,1
584,accounting,BM_Livingston,76,102,0,1.26,0.52,0.74,52,74,0.793650794,0.011491729,0.615384615,0.61,0.15,0.46,0.607032258,0.009053955,0.29787234,6.836065574,77,340,0.076923077,0.483516484,17,450,17,482
584,accounting,retheauditors,42,34,0,1,0.49,0.51,49,51,0.67114094,0.010719613,0.818181818,0.28,0.23,0.05,0.392041667,0.026297636,0.166666667,5.714285714,133,27,0.054945055,0.10989011,28,16,45,139
584,accounting,cfopub,43,36,0,0.75,0.45,0.3,45,30,0.588235294,0.009179888,0.595744681,0.15,0.13,0.02,0.35108209,0.028465261,0.153846154,15.2,226,2,0.120879121,0,98,0,105,1
584,accounting,ATomorrow,25,119,0,0.95,0.55,0.4,55,40,0.625,0.010596268,0.484375,0.26,0.16,0.1,0.437627907,0.006373637,0.3,4.038461538,39,66,0.197802198,0.043956044,64,5,64,8
584,accounting,SeacoastAcctg,89,11,0,0.47,0.23,0.24,23,24,0.568181818,0.0052301,0.88,0.03,0.03,0,0,0.002216167,0,1.666666667,5,0,0,0,0,0,1,0
584,accounting,MASocietyofCPAs,92,58,0,0.69,0.47,0.22,47,22,0.561797753,0.010292938,0.4375,0.16,0.14,0.02,0.352397004,0.004255229,0.142857143,1.9375,25,6,0.054945055,0.197802198,14,52,14,53
584,advertising,MediaPost,87,150,0,0.28,0.26,0.02,26,2,0.452488688,0.00667133,0.037037037,0.19,0.19,0,0,0.006503995,0,9.947368421,189,0,0.010204082,0.010204082,1,1,18,2
584,advertising,hillholliday,86,24,0,0.25,0.15,0.1,15,10,0.523560209,0.004005055,0.25,0.11,0.04,0.07,0.445924171,0.001914793,0.1,2.818181818,4,27,0.020408163,0.010204082,2,1,26,6
584,advertising,advertisingweek,33,19,0,1.4,0.41,0.99,41,99,0.99009901,0.009388641,0.414141414,0.38,0.22,0.16,0.514153005,0.009276167,0.310344828,5.342105263,162,41,0.030612245,0.551020408,4,251,14,453
584,advertising,Campaignmag,48,232,0,0.72,0.46,0.26,46,26,0.574712644,0.013459536,0.531914894,0.23,0.2,0.03,0.367539063,0.017794032,0.095238095,3.869565217,85,4,0.153061224,0.020408163,34,13,42,17
584,advertising,DeutschInc,76,48,0,0.88,0.37,0.51,37,51,0.67114094,0.009430504,0.6,0.52,0.14,0.38,0.591761006,0.005492114,0.3,4.403846154,35,194,0.071428571,0.020408163,29,2,34,3
