Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
deefizzy,youtube,66,youtube,66,2,"vegetarian,124,youtube,66"
AmazingPhil,youtube,67,youtube,67,1,"youtube,67"
Supermac18,youtube,68,youtube,68,1,"youtube,68"
chomikk,youtube,69,youtube,69,1,"youtube,69"
kylesibert,youtube,70,youtube,70,1,"youtube,70"
DeStorm,youtube,71,youtube,71,1,"youtube,71"
Strawburry17,youtube,72,youtube,72,1,"youtube,72"
AndrewBravener,youtube,73,youtube,73,1,"youtube,73"
meghantonjes,youtube,74,youtube,74,1,"youtube,74"
wongfupro,youtube,75,youtube,75,1,"youtube,75"
Onision,youtube,76,youtube,76,1,"youtube,76"
Nanalew,youtube,77,youtube,77,1,"youtube,77"
3sixty5days,youtube,78,youtube,78,1,"youtube,78"
fwong,youtube,79,youtube,79,1,"youtube,79"
shutupbuck,youtube,80,youtube,80,1,"youtube,80"
cyr,youtube,81,youtube,81,1,"youtube,81"
supricky06,youtube,82,youtube,82,1,"youtube,82"
bubzbeauty,youtube,83,youtube,83,1,"youtube,83"
AdorianDeck,youtube,84,youtube,84,1,"youtube,84"
DulceCandy87,youtube,85,youtube,85,2,"beauty_fashion_shopping,150,youtube,85"
DeniseVlogs,youtube,86,youtube,86,1,"youtube,86"
Alphacat,youtube,87,youtube,87,1,"youtube,87"
MizzChievouz,youtube,88,beauty_fashion_shopping,60,2,"beauty_fashion_shopping,60,youtube,88"
melissatrippy,youtube,89,youtube,89,1,"youtube,89"
TiffanyLD,youtube,90,youtube,90,2,"beauty_fashion_shopping,91,youtube,90"
fluffeetalks,youtube,91,youtube,91,1,"youtube,91"
MattG124,youtube,92,youtube,92,1,"youtube,92"
josephbirdsong,youtube,93,youtube,93,1,"youtube,93"
jefftakeover,youtube,94,youtube,94,1,"youtube,94"
BrettTheIntern,youtube,95,youtube,95,1,"youtube,95"
SandyCoben,youtube,96,youtube,96,1,"youtube,96"
catrific,youtube,97,youtube,97,1,"youtube,97"
nicepeter,youtube,98,youtube,98,1,"youtube,98"
jeyyounit11,youtube,99,youtube,99,1,"youtube,99"
VidCon,youtube,100,youtube,100,1,"youtube,100"
DudeNdaEaseOnUp,youtube,101,youtube,101,1,"youtube,101"
mememolly,youtube,102,youtube,102,1,"youtube,102"
hexachordal,youtube,103,youtube,103,1,"youtube,103"
nalts,youtube,104,youtube,104,1,"youtube,104"
kingsleyyy,youtube,105,youtube,105,1,"youtube,105"
AlanDistro,youtube,106,youtube,106,1,"youtube,106"
iamchrisc,youtube,107,youtube,107,1,"youtube,107"
fafinettex3,youtube,108,youtube,108,1,"youtube,108"
CapnDesDes,youtube,109,youtube,109,1,"youtube,109"
GregoryGorgeous,youtube,110,youtube,110,1,"youtube,110"
hayleyghoover,youtube,111,youtube,111,1,"youtube,111"
michaelaranda,youtube,112,youtube,112,1,"youtube,112"
daneboe,youtube,113,youtube,113,1,"youtube,113"
CollegeHumor,youtube,114,jokes,62,3,"jokes,62,comedy_funny,114,youtube,114"
Pyrobooby,youtube,115,youtube,115,1,"youtube,115"
katsketch,youtube,116,youtube,116,1,"youtube,116"
kandeejohnson,youtube,117,youtube,117,2,"beauty_fashion_shopping,119,youtube,117"
jakeandamir,youtube,118,youtube,118,3,"jokes,192,comedy_funny,197,youtube,118"
jennaezarik,youtube,119,youtube,119,1,"youtube,119"
whataboutadam,youtube,120,youtube,120,1,"youtube,120"
AndreasChoice,youtube,121,youtube,121,1,"youtube,121"
JohnnyDurham19,youtube,122,youtube,122,1,"youtube,122"
kinagrannis,youtube,123,youtube,123,1,"youtube,123"
LisaLavie,youtube,124,youtube,124,1,"youtube,124"
bdonski,youtube,125,youtube,125,1,"youtube,125"
HrcneAubrey,youtube,126,youtube,126,1,"youtube,126"
philipwang,youtube,127,youtube,127,1,"youtube,127"
danisnotonfire,youtube,128,youtube,128,1,"youtube,128"
MakeupGeek,youtube,129,beauty_fashion_shopping,82,2,"beauty_fashion_shopping,82,youtube,129"
zacharyxbinks,youtube,130,youtube,130,1,"youtube,130"
Katersoneseven,youtube,131,youtube,131,1,"youtube,131"
werevertumorro,youtube,132,youtube,132,1,"youtube,132"
kayleyhyde,youtube,133,youtube,133,1,"youtube,133"
JulieGBeauty,youtube,134,youtube,134,2,"beauty_fashion_shopping,175,youtube,134"
YTGathering,youtube,135,youtube,135,1,"youtube,135"
WinterSpringPro,youtube,136,youtube,136,1,"youtube,136"
JuliaNunes,youtube,137,youtube,137,1,"youtube,137"
JonPaula,youtube,138,youtube,138,1,"youtube,138"
ajRAFAEL,youtube,139,youtube,139,1,"youtube,139"
LiamDrydenEtc,youtube,140,youtube,140,1,"youtube,140"
householdhacker,youtube,141,youtube,141,2,"hacking,159,youtube,141"
koreykuhl,youtube,142,youtube,142,1,"youtube,142"
panacea81,youtube,143,youtube,143,2,"beauty_fashion_shopping,185,youtube,143"
tedfu,youtube,144,youtube,144,1,"youtube,144"
jpmetz,youtube,145,youtube,145,1,"youtube,145"
CoreyVidal,youtube,146,youtube,146,1,"youtube,146"
thewesleychan,youtube,147,youtube,147,1,"youtube,147"
MissKalelCullen,youtube,148,youtube,148,1,"youtube,148"
MissAlissa15,youtube,149,youtube,149,1,"youtube,149"
FredFigglehorn,youtube,150,youtube,150,1,"youtube,150"
kickthepj,youtube,151,youtube,151,1,"youtube,151"
CecMonster,youtube,152,youtube,152,1,"youtube,152"
LukeConard,youtube,153,youtube,153,1,"youtube,153"
thatalexday,youtube,154,youtube,154,1,"youtube,154"
johneepixels7,youtube,155,youtube,155,1,"youtube,155"
bisante,youtube,156,youtube,156,1,"youtube,156"
KoolJeffrey,youtube,157,youtube,157,1,"youtube,157"
JRAquino,youtube,158,youtube,158,1,"youtube,158"
benshorts,youtube,159,youtube,159,1,"youtube,159"
emilynoel83,youtube,160,youtube,160,1,"youtube,160"
mediocrefilms,youtube,161,youtube,161,1,"youtube,161"
Jory_Caron,youtube,162,youtube,162,1,"youtube,162"
laurenmyrtle,youtube,163,youtube,163,1,"youtube,163"
Glowpinkstah,youtube,164,youtube,164,1,"youtube,164"
johnnyboyxo,youtube,165,youtube,165,1,"youtube,165"
exoticjess,youtube,166,youtube,166,1,"youtube,166"
JoshSundquist,youtube,167,youtube,167,1,"youtube,167"
thatzak,youtube,168,youtube,168,1,"youtube,168"
YayoGutierrez,youtube,169,youtube,169,1,"youtube,169"
SoldierKnowBest,youtube,170,youtube,170,1,"youtube,170"
Jenna_Marbles,youtube,171,youtube,171,1,"youtube,171"
lollipop26,youtube,172,youtube,172,1,"youtube,172"
bobjenz,youtube,173,youtube,173,1,"youtube,173"
Dannerzz,youtube,174,youtube,174,1,"youtube,174"
CarlieStyle,youtube,175,youtube,175,1,"youtube,175"
LoganMckay55,youtube,176,youtube,176,1,"youtube,176"
LeviBeamish,youtube,177,youtube,177,1,"youtube,177"
justinbieber,youtube,178,musician_singer,25,2,"musician_singer,25,youtube,178"
lilcdawg,youtube,179,youtube,179,1,"youtube,179"
Shimmycocopuffs,youtube,180,youtube,180,1,"youtube,180"
thewinekone,youtube,181,youtube,181,1,"youtube,181"
gregorybrothers,youtube,182,youtube,182,1,"youtube,182"
chestersee,youtube,183,youtube,183,1,"youtube,183"
CharliesDrunk,youtube,184,youtube,184,1,"youtube,184"
SMPlady,youtube,185,youtube,185,1,"youtube,185"
d_TRIX,youtube,186,dance,26,2,"dance,26,youtube,186"
MrArturoTrejo,youtube,187,youtube,187,1,"youtube,187"
EpicMealTime,youtube,188,youtube,188,1,"youtube,188"
MeTonyV,youtube,189,youtube,189,1,"youtube,189"
WannaBeALoserr,youtube,190,youtube,190,1,"youtube,190"
alyssabernal,youtube,191,youtube,191,1,"youtube,191"
keeptheheat,youtube,192,youtube,192,1,"youtube,192"
hartzprod,youtube,193,youtube,193,1,"youtube,193"
itsjudytime,youtube,194,youtube,194,1,"youtube,194"
frezned,youtube,195,youtube,195,1,"youtube,195"
blueskies,youtube,196,youtube,196,1,"youtube,196"
KurtHSchneider,youtube,197,youtube,197,1,"youtube,197"
rhettandlink,youtube,198,youtube,198,1,"youtube,198"
Toddly00,youtube,199,youtube,199,1,"youtube,199"
itsBrent,youtube,200,youtube,200,1,"youtube,200"
Etsy,etsy_handmade,1,etsy_handmade,1,1,"etsy_handmade,1"
SteampunkRings,etsy_handmade,2,etsy_handmade,2,1,"etsy_handmade,2"
HautTotes,etsy_handmade,3,etsy_handmade,3,1,"etsy_handmade,3"
indiespotting,etsy_handmade,4,etsy_handmade,4,1,"etsy_handmade,4"
dutchfeltart,etsy_handmade,5,etsy_handmade,5,1,"etsy_handmade,5"
daniellexo,etsy_handmade,6,etsy_handmade,6,1,"etsy_handmade,6"
Rain_wheel,etsy_handmade,7,etsy_handmade,7,1,"etsy_handmade,7"
beachchicken,etsy_handmade,8,etsy_handmade,8,1,"etsy_handmade,8"
Classickeepsake,etsy_handmade,9,etsy_handmade,9,1,"etsy_handmade,9"
battysbath,etsy_handmade,10,etsy_handmade,10,1,"etsy_handmade,10"
glorialynnglass,etsy_handmade,11,etsy_handmade,11,1,"etsy_handmade,11"
etsy_love,etsy_handmade,12,etsy_handmade,12,1,"etsy_handmade,12"
handmadeology,etsy_handmade,13,etsy_handmade,13,1,"etsy_handmade,13"
Antiquebasket,etsy_handmade,14,etsy_handmade,14,1,"etsy_handmade,14"
isewcute,etsy_handmade,15,etsy_handmade,15,1,"etsy_handmade,15"
88Links,etsy_handmade,16,etsy_handmade,16,1,"etsy_handmade,16"
digitalteacup,etsy_handmade,17,etsy_handmade,17,1,"etsy_handmade,17"
HndmdeGiftGuide,etsy_handmade,18,etsy_handmade,18,1,"etsy_handmade,18"
ArtMind,etsy_handmade,19,etsy_handmade,19,1,"etsy_handmade,19"
Noadi,etsy_handmade,20,etsy_handmade,20,1,"etsy_handmade,20"
SmuTopiaJewelry,etsy_handmade,21,etsy_handmade,21,1,"etsy_handmade,21"
nakpunar,etsy_handmade,22,etsy_handmade,22,1,"etsy_handmade,22"
redpandajewelry,etsy_handmade,23,etsy_handmade,23,1,"etsy_handmade,23"
runwaycrochet,etsy_handmade,24,etsy_handmade,24,1,"etsy_handmade,24"
kimscraftyapple,etsy_handmade,25,etsy_handmade,25,1,"etsy_handmade,25"
craftjuice,etsy_handmade,26,etsy_handmade,26,1,"etsy_handmade,26"
LMcreation,etsy_handmade,27,etsy_handmade,27,1,"etsy_handmade,27"
alexandrakeller,etsy_handmade,28,etsy_handmade,28,1,"etsy_handmade,28"
mysticpieces,etsy_handmade,29,etsy_handmade,29,1,"etsy_handmade,29"
DonidoDesigns,etsy_handmade,30,etsy_handmade,30,1,"etsy_handmade,30"
jessjamesjake,etsy_handmade,31,etsy_handmade,31,1,"etsy_handmade,31"
BellaOriginals,etsy_handmade,32,etsy_handmade,32,1,"etsy_handmade,32"
PunchDrunkP,etsy_handmade,33,etsy_handmade,33,1,"etsy_handmade,33"
ChristinePanics,etsy_handmade,34,etsy_handmade,34,1,"etsy_handmade,34"
Lunatiger,etsy_handmade,35,etsy_handmade,35,1,"etsy_handmade,35"
ZipitZippers,etsy_handmade,36,etsy_handmade,36,1,"etsy_handmade,36"
stoopidgerl,etsy_handmade,37,etsy_handmade,37,1,"etsy_handmade,37"
