Project,Community,Person_ID,Competing_lists,FF_bin_degree,FF_bin_in_degree,FF_bin_out_degree,FF_vol_in,FF_vol_out,FF_groups_in,FF_groups_out,FF_rec,AT_bin_degree,AT_bin_in_degree,AT_bin_out_degree,AT_vol_in,AT_vol_out,AT_groups_in,AT_groups_out,AT_rec,AT_strength_centrality_in,RT_bin_in_degree,RT_bin_out_degree,RT_vol_in,RT_vol_out
584,yoga,YogaVibes,1,0.0026405809278,0.00120026405809,0.00144031686971,20.0,24.0,12,17,0.157894736842,0.00102022444938,0.000120026405809,0.00090019804357,3.0,24.0,2,12,0.0,0.694343434343,0.000120026405809,0.0,3.0,0
584,yoga,YogaSutras,1,0.00606133349337,0.00228050171038,0.00378083178299,38.0,63.0,13,17,0.530303030303,0.000180039608714,0.000180039608714,0.0,9.0,0,2,0,0.0,2.08,0.000180039608714,0.000180039608714,41.0,12.0
584,yoga,YOGANONYMOUS,1,0.00210046210166,0.00102022444938,0.00108023765228,17.0,18.0,10,13,0.129032258065,0.00228050171038,0.000180039608714,0.00210046210166,34.0,105.0,3,25,0.027027027027,9.55272727273,0.0,6.00132029046e-05,0,14.0
584,yoga,yisforyogini,1,0.00138030366681,0.000840184840665,0.000540118826142,14.0,9.0,9,7,0.533333333333,0.00144031686971,0.000360079217428,0.00108023765228,21.0,21.0,5,14,0.0434782608696,11.72,6.00132029046e-05,0.000120026405809,1.0,2.0
584,yoga,yogadeals,1,0.0125427594071,0.00336073936266,0.00918202004441,56.0,153.0,29,53,0.29012345679,0.00330072615976,0.000360079217428,0.00294064694233,13.0,94.0,5,33,0.0576923076923,4.06,6.00132029046e-05,0.00174038288423,1.0,40.0
584,yoga,stillyoga,1,0.0123627197984,0.00216047530457,0.0102022444938,36.0,170.0,17,58,0.138121546961,0.000600132029046,0.000120026405809,0.000480105623237,2.0,9.0,1,8,0.0,0.34,0.000180039608714,6.00132029046e-05,3.0,1.0
584,yoga,Yoga_Living,1,0.0283862449739,0.0141031026826,0.0142831422913,235.0,238.0,78,77,0.979079497908,0.000120026405809,6.00132029046e-05,6.00132029046e-05,7.0,1.0,1,1,0.0,1.96,0.0,0.0,0,0
584,yoga,skyyogastudio,1,0.0376882914241,0.015723459161,0.0219648322631,262.0,366.0,82,88,0.57,0.00162035647843,0.000240052811619,0.00138030366681,5.0,90.0,4,17,0.0384615384615,1.14,6.00132029046e-05,0.000420092420332,1.0,9.0
584,yoga,DailyCupofYoga,1,0.00624137310208,0.00138030366681,0.00486106943528,23.0,81.0,15,22,0.118279569892,0.00168036968133,0.000180039608714,0.00150033007262,10.0,32.0,2,15,0.037037037037,2.83,0.000120026405809,0.0,2.0,0
584,yoga,unitedyogis,1,0.0171037628278,0.00840184840665,0.00870191442117,140.0,145.0,51,53,0.78125,0.000420092420332,0.000420092420332,0.0,22.0,0,4,0,0.0,5.02,0.0,0.0,0,0
584,yoga,ashtangayoga,1,0.000540118826142,0.000540118826142,0.0,9.0,0,6,0,0.0,6.00132029046e-05,6.00132029046e-05,0.0,2.0,0,1,0,0.0,0.74,6.00132029046e-05,0.0,1.0,0
584,yoga,itsallyoga_baby,1,0.00882194082698,0.00198043569585,0.00684150513113,33.0,114.0,23,44,0.166666666667,0.00360079217428,0.000360079217428,0.00324071295685,9.0,147.0,6,38,0.0169491525424,2.87,0.000120026405809,0.00078017163776,2.0,16.0
